,Date.to.use,day,cuml.case,cases,mean.cases
208,5/14/2022,1,,,
209,5/15/2022,2,,,
210,5/16/2022,3,,,
211,5/17/2022,4,,,
212,5/18/2022,5,,,
213,5/19/2022,6,,,
342,5/20/2022,7,,,
214,5/21/2022,8,,,
215,5/22/2022,9,,,
216,5/23/2022,10,,,
217,5/24/2022,11,,,
218,5/25/2022,12,,,
219,5/26/2022,13,,,
2083,5/27/2022,14,,,
220,5/28/2022,15,,,
1226,5/29/2022,16,,,
221,5/30/2022,17,,,
579,5/31/2022,18,,,
222,6/1/2022,19,,,
223,6/2/2022,20,,,
1309,6/3/2022,21,,,
224,6/4/2022,22,,,
225,6/5/2022,23,,,
116,6/6/2022,24,,,
1940,6/7/2022,25,,,
524,6/8/2022,26,,,
226,6/9/2022,27,,,
227,6/10/2022,28,,,
228,6/11/2022,29,,,
229,6/12/2022,30,,,
10371,6/13/2022,31,,,
1628,6/14/2022,32,,,
299,6/15/2022,33,,,
10891,6/16/2022,34,,,
2033,6/17/2022,35,,,
650,6/18/2022,36,,,
230,6/19/2022,37,,,
2414,6/20/2022,38,,,
321,6/21/2022,39,,,
2781,6/22/2022,40,,,
1154,6/23/2022,41,,,
2508,6/24/2022,42,,,
1235,6/25/2022,43,,,
751,6/26/2022,44,,,
1180,6/27/2022,45,,,
2067,6/28/2022,46,,,
108,6/29/2022,47,,,
25610,6/30/2022,48,,,
8091,7/1/2022,49,,,
1548,7/2/2022,50,,,
1367,7/3/2022,51,,,
2589,7/4/2022,52,,,
1190,7/5/2022,53,,,
752,7/6/2022,54,,,
1275,7/7/2022,55,,,
7261,7/8/2022,56,,,
549,7/9/2022,57,,,
7851,7/10/2022,58,,,
6961,7/11/2022,59,,,
9331,7/12/2022,60,,,
9501,7/13/2022,61,,,
4791,7/14/2022,62,,,
5710,7/15/2022,63,,,
8501,7/16/2022,64,,,
10381,7/17/2022,65,,,
3341,7/18/2022,66,,,
4991,7/19/2022,67,,,
4541,7/20/2022,68,,,
1006,7/21/2022,69,,,
